#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
140.0,1000,110.98072
140.0,1000,111.822728
150.0,1000,112.358638
140.0,1000,113.259038
140.0,1000,113.731553
140.0,1000,114.558809
140.0,1000,115.011223
136.76,824,115.739857
138.83,617,115.958506
150.0,1000,116.45558
140.0,1000,117.225311
190.0,1000,117.63025
140.0,1000,118.584339
140.0,1000,118.928853
140.0,1000,119.808752
140.0,1000,120.280942
140.0,1000,121.203013
190.0,1000,121.598472
140.0,1000,122.42696
140.0,1000,122.900656
140.0,1000,123.846726
140.0,1000,124.26736
140.0,1000,125.197588
140.0,1000,125.665795
140.0,1000,126.626138
140.0,1000,127.102354
137.35,765,127.831203
141.32,368,128.004744
150.0,1000,128.520999
140.0,1000,129.477031
190.0,1000,129.899208
140.0,1000,130.84317
150.0,1000,131.363538
140.0,1000,132.290544
150.0,1000,132.789946
150.0,1000,133.798101
141.18,382,133.967525
140.0,1000,134.45751
150.0,1000,135.427478
190.0,1000,135.866598
150.0,1000,136.894185
150.0,1000,137.414985
150.0,1000,138.405625
140.0,1000,138.888492
150.0,1000,139.890054
150.0,1000,140.405954
140.0,1000,141.36616
140.0,1000,141.873696
150.0,1000,142.848419
150.0,1000,143.374232
150.0,1000,144.37947
150.0,1000,144.893986
150.0,1000,145.91088
150.0,1000,146.540942
150.0,1000,147.528129
140.0,1000,148.017724
150.0,1000,148.980293
150.0,1000,149.480835
140.0,1000,150.447424
150.0,1000,150.961244
140.0,1000,151.917323
150.0,1000,152.425621
140.5,450,152.621547
140.0,1000,153.569404
140.0,1000,154.060631
150.0,1000,155.036072
150.0,1000,155.557052
140.0,1000,156.512949
140.0,1000,157.000255
140.0,1000,157.957038
140.0,1000,158.451255
140.0,1000,159.392821
140.0,1000,159.87294
140.0,1000,160.82698
140.0,1000,161.327318
140.0,1000,162.286829
140.0,1000,162.784916
140.0,1000,163.740538
140.0,1000,164.239084
140.0,1000,165.193247
140.0,1000,165.693194
140.0,1000,166.632272
140.0,1000,167.120438
140.0,1000,168.071556
140.0,1000,168.572
140.0,1000,169.066528
140.0,1000,170.019081
140.0,1000,170.519527
140.0,1000,171.478306
140.0,1000,171.980209
140.0,1000,172.936511
150.0,1000,173.47098
141.13,387,174.116012
141.13,387,174.305684
150.0,1000,174.804436
140.0,1000,175.757133
150.0,1000,176.286675
150.0,1000,178.447373
140.0,1000,179.119483
140.0,1000,180.187137
140.0,1000,180.721677
150.0,1000,181.694814
150.0,1000,182.218782
150.0,1000,183.211446
140.0,1000,183.697325
140.0,1000,184.723065
190.0,1000,393.970148
140.0,1000,397.731406
140.0,1000,399.008417
140.0,1000,400.181439
150.0,1000,400.91905
150.0,1000,401.968228
140.0,1000,402.469941
140.0,1000,403.482027
140.0,1000,404.040624
140.0,1000,405.007109
140.0,1000,405.507149
140.0,1000,406.477097
140.0,1000,406.98873
140.0,1000,407.486916
140.0,1000,408.448121
140.65,435,408.662
140.0,1000,409.621531
140.0,1000,410.118279
140.0,1000,411.079534
140.0,1000,411.588525
140.0,1000,412.563236
140.0,1000,413.058324
140.0,1000,414.01931
140.0,1000,414.513588
140.0,1000,415.482395
140.0,1000,415.984111
140.0,1000,416.995497
140.0,1000,417.505436
140.0,1000,418.503147
140.0,1000,419.010982
140.0,1000,419.976415
140.0,1000,420.49894
140.5,450,420.727213
140.0,1000,421.735275
140.0,1000,422.260233
140.0,1000,423.234232
140.0,1000,423.742213
140.0,1000,424.709832
140.0,1000,425.211812
140.0,1000,426.656401
140.0,1000,427.190159
140.0,1000,428.182162
140.0,1000,428.709371
150.0,1000,429.7037
140.0,1000,430.25032
150.0,1000,431.257433
140.0,1000,431.763672
150.0,1000,432.762019
150.0,1000,433.338139
140.0,1000,434.306442
150.0,1000,434.869315
150.0,1000,435.4252
150.0,1000,436.430518
150.0,1000,436.976368
170.0,1000,438.035019
150.0,1000,438.613204
150.0,1000,439.62734
150.0,1000,440.149759
150.0,1000,441.162981
150.0,1000,441.689688
150.0,1000,442.673322
150.0,1000,443.230872
150.0,1000,444.218219
170.0,1000,444.799086
170.0,1000,445.844838
150.0,1000,446.414527
150.0,1000,447.434976
170.0,1000,448.013295
150.0,1000,449.031673
150.0,1000,449.626388
150.0,1000,451.345124
170.0,1000,452.12215
150.0,1000,453.279785
141.93,307,453.432991
170.0,1000,454.048481
150.0,1000,455.108024
150.0,1000,455.660428
140.0,1000,456.655009
140.0,1000,457.168501
140.0,1000,458.891257
140.0,1000,459.402395
150.0,1000,460.411423
150.0,1000,460.953108
170.0,1000,462.005108
150.0,1000,462.573674
150.0,1000,463.58688
170.0,1000,464.186161
150.0,1000,465.242053
170.0,1000,465.863063
200.0,1000,466.961393
170.0,1000,467.58236
170.0,1000,468.667488
200.0,1000,469.270184
200.0,1000,470.358824
170.0,1000,470.9538
170.0,1000,472.013178
200.0,1000,472.628853
170.0,1000,473.706476
170.0,1000,474.316168
200.0,1000,475.402517
170.0,1000,476.006175
170.0,1000,477.091699
200.0,1000,477.781942
200.0,1000,478.897407
170.0,1000,479.511689
200.0,1000,480.603884
170.0,1000,481.229998
200.0,1000,482.332385
200.0,1000,482.954235
200.0,1000,483.561797
200.0,1000,484.65378
200.0,1000,485.2871
200.0,1000,486.372435
200.0,1000,486.992083
170.0,1000,488.072325
170.0,1000,488.686113
170.0,1000,489.754868
170.0,1000,490.382313
170.0,1000,491.451041
170.0,1000,492.056947
170.0,1000,493.134525
170.0,1000,493.748319
170.0,1000,494.834215
